,latitude,longitude,value
88,13.054551,101.098128,29.5
89,13.35461667,100.9792167,29.3
90,13.11923333,100.91855,31.7
91,15.173056,100.126944,42.7
92,15.81148,102.02281,38.4
93,7.570238,99.588743,26.0
94,12.234862,102.523721,50.5
95,16.734413,98.566961,55.4
96,14.20422,101.21509,33.5
97,13.832076,100.057961,31.7
98,17.412345,104.7786123,55.0
99,14.979537,102.098335,45.9
100,8.426923,99.961469,29.6
101,15.68623,100.110556,33.9
102,13.852778,100.529444,26.6
103,13.907861,100.535641,28.9
104,6.426853,101.823388,28.0
105,18.7888833,100.7763166,70.1
106,19.5759666,101.0815166,71.5
107,18.362008,103.65977,38.5
108,14.945452,103.105896,47.0
109,14.03742,100.605216,32.3
110,12.577835,99.953663,37.5
111,13.917563,101.590529,42.9
112,14.0449046434287,101.3689396242558,41.0
113,6.890639752808323,101.25106087293467,25.7
114,14.35222,100.565325,28.8
115,19.200226,99.893048,70.5
116,7.614396,100.113766,22.8
117,16.442554,100.322756,39.2
118,16.820833,100.258056,-1.0
119,7.884488,98.391283,41.3
120,16.54257,104.7192,45.3
121,6.546205,101.283137,27.8
122,5.763873,101.067903,21.3
123,15.783861,104.154639,52.1
124,9.961849,98.639341,30.6
125,12.97378333,101.21285,33.2
126,12.70865,101.1659833,37.6
127,12.73518333,101.13565,28.4
128,12.7066,101.18055,29.8
129,12.67155,101.2758667,29.9
130,12.648576,101.32245,32.1
131,13.52344,99.814082,37.8
132,16.057537,103.651372,56.3
133,14.800032,100.628548,40.8
134,18.2783333,99.5064666,90.0
135,18.2508166,99.76395,64.0
136,18.4267833,99.7576333,64.9
137,18.2826333,99.6598166,64.5
138,18.567194,99.038639,68.0
139,17.802222,98.949722,96.1
140,15.087087,104.326787,57.5
141,17.15662,104.133216,30.4
142,7.020434,100.484088,26.3
143,6.624747,100.066159,37.0
144,13.664087,100.543436,34.1
145,13.618,100.5562,28.3
146,13.652141,100.531805,26.8
147,13.599149,100.597345,42.6
148,13.5705,100.7862867,27.7
149,13.428581,100.024664,29.7
150,13.7054879,100.315622,34.0
151,13.5502631,100.2647676,27.1
152,14.685833,100.871996,38.1
153,14.526343,100.926047,32.6
154,13.691047,102.510442,37.8
155,14.8933874,100.4130773,38.3
156,14.476214,100.086095,37.4
157,9.126017,99.325145,21.4
158,14.8762222,103.4965833,50.5
159,17.006059,99.81927,76.3
160,17.87748,102.728925,45.0
161,17.193824,102.4585009,47.3
162,15.8758,104.6223,38.2
163,17.414174,102.780926,46.6
164,17.631352,100.09896,44.2
165,15.373638,100.038725,47.4
166,15.245413,104.846219,-1.0
167,14.606306,100.453589,35.1
168,19.909217,99.823467,55.8
169,20.427325,99.883842,106.4
170,20.2575,100.4025,78.8
171,18.840732,98.96978,70.8
172,18.7909333,98.99,82.0
173,19.593889,98.961667,63.2
174,18.498333,98.379444,38.3
175,18.804894,98.900698,42.8
176,18.172495,98.61069,60.9
177,13.11249031,99.9461325,33.1
178,16.418417,101.156556,42.1
179,17.48462,101.732734,72.8
180,18.1283666,100.1624333,51.7
181,19.30455,97.97165,108.9
182,18.163056,97.917778,54.0
183,19.369637,98.43596,82.5
